#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dce_rpc
#open	2026-07-19-23-54-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	rtt	named_pipe	endpoint	operation
#types	time	string	addr	port	addr	port	interval	string	string	string
1700000102.900445	ChVW974nhWonXZlzrb	10.10.0.40	40001	10.10.0.41	135	0.037676	135	epmapper	ept_map
1700000103.471264	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.102284	\\PIPE\\svcctl	svcctl	OpenSCManagerW
1700000103.607044	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.105822	\\PIPE\\svcctl	svcctl	CreateServiceW
1700000103.748356	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.094454	\\PIPE\\svcctl	svcctl	QueryServiceStatus
1700000103.882128	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.104743	\\PIPE\\svcctl	svcctl	OpenServiceW
1700000104.020335	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.097655	\\PIPE\\svcctl	svcctl	StartServiceW
1700000104.153186	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.109638	\\PIPE\\svcctl	svcctl	QueryServiceStatus
1700000104.299026	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.109836	\\PIPE\\svcctl	svcctl	CloseServiceHandle
1700000104.446901	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.100637	\\PIPE\\svcctl	svcctl	CloseServiceHandle
1700000104.579068	CKaD493UPuYsCC7wCf	10.10.0.40	40002	10.10.0.41	445	0.100853	\\PIPE\\svcctl	svcctl	CloseServiceHandle
#close	2026-07-19-23-54-41
